Zeit,I1max,I2max,I3max
16.08.2017 09:10,19.256,46.802,29.0394
16.08.2017 09:20,11.9975,11.4696,14.575
16.08.2017 09:30,10.02,3.49508,14.1743
16.08.2017 09:40,11.8023,9.4114,13.9835
16.08.2017 09:50,9.73604,9.40928,11.0654
16.08.2017 10:00,3.30976,4.30313,10.1749
16.08.2017 10:10,8.99883,9.57725,15.8896
16.08.2017 10:20,13.9276,4.94698,15.2085
16.08.2017 10:30,11.5142,11.5771,14.1236
16.08.2017 10:40,5.36979,9.43052,11.0751
16.08.2017 10:50,12.5313,7.96378,12.1124
16.08.2017 11:00,6.40417,13.3615,22.7822
16.08.2017 11:10,11.6784,10.6183,20.4366
16.08.2017 11:20,11.9235,3.26653,18.1503
16.08.2017 11:30,15.4099,12.5115,17.9717
16.08.2017 11:40,14.8881,17.8321,23.8239
16.08.2017 11:50,12.9619,13.7327,17.7597
16.08.2017 12:00,13.1928,15.1482,14.7855
16.08.2017 12:10,12.6774,10.7532,16.6714
16.08.2017 12:20,4.88449,10.5252,11.1156
16.08.2017 12:30,1.38205,12.9283,17.19
16.08.2017 12:40,7.27938,12.1819,10.7633
16.08.2017 12:50,11.1418,18.4387,11.9686
16.08.2017 13:00,12.3297,25.485,12.2342
16.08.2017 13:10,12.2481,17.1764,17.7383
16.08.2017 13:20,11.4185,23.0186,20.1898
16.08.2017 13:30,12.0713,27.5147,22.4346
16.08.2017 13:40,3.60463,17.0028,11.7183
16.08.2017 13:50,8.47358,9.85061,7.7787
16.08.2017 14:00,6.26102,4.11651,9.17541
16.08.2017 14:10,5.19416,9.26179,10.4126
16.08.2017 14:20,8.43424,10.8568,12.8269
16.08.2017 14:30,12.4275,10.7621,15.16
16.08.2017 14:40,5.80567,10.2774,9.37774
16.08.2017 14:50,8.29321,9.46618,6.80331
16.08.2017 15:00,9.04711,7.51534,11.6165
16.08.2017 15:10,7.80016,9.92226,10.4427
16.08.2017 15:20,8.69808,3.32602,6.50938
